"row_id","MDPL2__Rockstar__dbId","MDPL2__Rockstar__rockstarId","MDPL2__Rockstar__scale","MDPL2__Rockstar__desc_scale","MDPL2__Rockstar__descId","MDPL2__Rockstar__nprog","MDPL2__Rockstar__pId","MDPL2__Rockstar__upId","MDPL2__Rockstar__desc_pId","MDPL2__Rockstar__phantom","MDPL2__Rockstar__Mvir_SAM","MDPL2__Rockstar__Mvir","MDPL2__Rockstar__Rvir","MDPL2__Rockstar__Rs","MDPL2__Rockstar__Vrms","MDPL2__Rockstar__mmp","MDPL2__Rockstar__lastMM_scale","MDPL2__Rockstar__Vmax","MDPL2__Rockstar__x","MDPL2__Rockstar__y","MDPL2__Rockstar__z","MDPL2__Rockstar__vx","MDPL2__Rockstar__vy","MDPL2__Rockstar__vz","MDPL2__Rockstar__angMom_x","MDPL2__Rockstar__angMom_y","MDPL2__Rockstar__angMom_z","MDPL2__Rockstar__spin","MDPL2__Rockstar__breadthFirstId","MDPL2__Rockstar__depthFirstId","MDPL2__Rockstar__treeRootId","MDPL2__Rockstar__forestId","MDPL2__Rockstar__origHaloId","MDPL2__Rockstar__rockstar_snapnum","MDPL2__Rockstar__snapnum","MDPL2__Rockstar__nextCoprog_depthFirstId","MDPL2__Rockstar__mainLeaf_depthFirstId","MDPL2__Rockstar__lastProg_depthFirstId","MDPL2__Rockstar__Rs_Klypin","MDPL2__Rockstar__Mvir_all","MDPL2__Rockstar__M200b","MDPL2__Rockstar__M200c","MDPL2__Rockstar__M500c","MDPL2__Rockstar__M2500c","MDPL2__Rockstar__Xoff","MDPL2__Rockstar__Voff","MDPL2__Rockstar__spin_Bullock","MDPL2__Rockstar__axisratio_2_1","MDPL2__Rockstar__axisratio_3_1","MDPL2__Rockstar__axis1_x","MDPL2__Rockstar__axis1_y","MDPL2__Rockstar__axis1_z","MDPL2__Rockstar__axisratio_2_1_500c","MDPL2__Rockstar__axisratio_3_1_500c","MDPL2__Rockstar__axis1_x_500c","MDPL2__Rockstar__axis1_y_500c","MDPL2__Rockstar__axis1_z_500c","MDPL2__Rockstar__T_U","MDPL2__Rockstar__M_pe_Behroozi","MDPL2__Rockstar__M_pe_Diemer","MDPL2__Rockstar__Macc","MDPL2__Rockstar__Mpeak","MDPL2__Rockstar__Vacc","MDPL2__Rockstar__Vpeak","MDPL2__Rockstar__halfmass_scale","MDPL2__Rockstar__accRate_Inst","MDPL2__Rockstar__accRate_100Myr","MDPL2__Rockstar__accRate_1Tdyn","MDPL2__Rockstar__accRate_2Tdyn","MDPL2__Rockstar__accRate_Mpeak","MDPL2__Rockstar__Mpeak_scale","MDPL2__Rockstar__Acc_scale","MDPL2__Rockstar__First_Acc_scale","MDPL2__Rockstar__First_Acc_Mvir","MDPL2__Rockstar__First_Acc_Vmax","MDPL2__Rockstar__Vmax_Mpeak","MDPL2__Rockstar__ix","MDPL2__Rockstar__iy","MDPL2__Rockstar__iz","MDPL2__Rockstar__phkey"
1,11410899414928,10899414928,0.7837,0.8013,11055788603,5,-1,-1,-1,0,233910000000000,238000000000000,1369.6,223.408,1176.07,1,0.2647,1086.64,33.7127,99.301,227.605,-397.39,479.22,168.25,-1.249e16,-6.69e15,1.338e16,0.04431,26560358,26576857,12569364935,12569363750,758529,114,114,26595171,26576952,26595170,203.909,238200000000000,257750000000000,197120000000000,143980000000000,66517000000000,31.3724,131.96,0.05524,0.68004,0.54266,-58.3192,67.9761,-16.4305,0.6719,0.51407,-43.975,54.3375,-16.4201,0.6973,219800000000000,166600000000000,238000000000000,238000000000000,1086.64,1191.37,0.4505,31460,31460,22320,14770,12630,0.7837,0.784,0.784,238000000000000,1086.64,1086.64,34,101,233,15779816
2,11511055788488,11055788488,0.8013,0.8192,11211067835,12,-1,-1,-1,0,276000000000000,271710000000000,1422.56,298.94,1266.62,1,0.2075,1085.52,31.6456,100.454,228.52,470.95,-374.29,-221.36,4.242e15,-9.572e15,1.076e16,0.02245,26560084,26559173,12569364935,12569363750,715761,115,115,26573356,26559267,26573355,266.361,271710000000000,297260000000000,230620000000000,156610000000000,56986000000000,176.824,250.07,0.03385,0.54401,0.40517,74.412,-5.05464,-73.8968,0.46621,0.37194,58.406,-0.56674,-57.8679,0.7834,343700000000000,238100000000000,271710000000000,271710000000000,1085.52,1139.02,0.5622,39540,39540,26820,14210,36680,0.8013,0.801,0.801,271700000000000,1085.52,1085.52,32,102,234,15779778
3,11911670805308,11670805308,0.8755,0.8951,11822222528,10,11670805273,11670805273,11822222527,0,274177000000000,286360000000000,1408.72,230.225,1352,1,0.2647,1109.55,33.0409,100.029,227.926,-989.24,752.79,459.42,2.409e15,8.764e15,2.074e16,0.01506,26559477,26576852,12569364935,12569363750,622704,119,119,26596734,26576952,26596733,212.314,291450000000000,322550000000000,236720000000000,170470000000000,75834000000000,50.9425,422.2,0.04538,0.51084,0.46824,81.5515,-60.7582,-5.37118,0.51983,0.46321,61.2309,-47.0847,-0.76306,0.9489,272900000000000,206800000000000,247280000000000,286360000000000,1047.82,1191.37,0.4709,107000,107000,32520,24590,20850,0.8755,0.819,0.819,247300000000000,1047.82,1109.55,33,102,233,15779834
4,12011822222528,11822222528,0.8951,0.9152,11972853458,8,11822222527,11822222527,-1,0,281350000000000,281350000000000,1390.03,201.698,1437.39,0,0.2647,1101.8,32.7741,100.13,228.08,-1137.15,203.24,701.21,-3.925e15,1.367e16,1.591e16,0.01597,26559359,26576851,12569364935,12569363750,734709,120,120,26598331,26576952,26598330,202.309,282070000000000,324830000000000,224670000000000,161530000000000,83037000000000,115.857,429.86,0.04371,0.53128,0.46431,79.3073,-37.8602,-12.3734,0.60011,0.52638,58.4191,-24.8839,-11.4085,1.0605,274500000000000,179300000000000,247280000000000,286360000000000,1047.82,1191.37,0.4709,-16710,-16710,25230,23120,20240,0.8755,0.819,0.819,247300000000000,1047.82,1109.55,33,102,233,15779834
5,12111972853458,11972853458,0.9152,0.9357,12122965688,31,-1,-1,-1,0,657337000000000,655370000000000,1828.36,356.606,1656.71,1,0.8376,1451.36,33.2279,100.129,227.942,689.22,217.38,-91.53,9.363e15,-2.413e16,5.132e16,0.01853,26559284,26559167,12569364935,12569363750,730053,121,121,26601085,26559267,26601084,264.778,655370000000000,706260000000000,560670000000000,424530000000000,104100000000000,289.966,671.79,0.02856,0.36325,0.3088,151.897,-10.5035,-62.3911,0.19414,0.1768,123.763,-0.81702,-52.9586,0.7959,680600000000000,561800000000000,655370000000000,655370000000000,1451.36,1537.96,0.8192,61770,61770,208300,114400,87680,0.9152,0.915,0.915,655400000000000,1451.36,1451.36,34,102,233,15779827
6,12212122965688,12122965688,0.9357,0.9567,12272391617,22,-1,-1,-1,0,680857000000000,680080000000000,1836.24,501.824,1549.32,1,0.8376,1385.98,33.299,100.09,227.983,286.93,28,66.77,-4.859e15,-9.862e15,4.133e16,0.01408,26559231,26559166,12569364935,12569363750,726785,122,122,26602066,26559267,26602065,366.834,680090000000000,730380000000000,575550000000000,367500000000000,74140000000000,314.537,233.42,0.01984,0.32428,0.28055,161.346,-13.3197,-61.8154,0.24398,0.20579,109.164,-1.87947,-41.259,0.7378,688900000000000,708300000000000,680080000000000,680080000000000,1385.98,1537.96,0.8192,80360,80360,207300,118900,90380,0.9357,0.936,0.936,680100000000000,1385.98,1385.98,34,102,233,15779827
7,10910109685848,10109685848,0.7016,0.7173,10271603197,25,-1,-1,-1,0,689810000000000,688870000000000,2006.45,461.894,1824.17,1,0.6142,1562.22,73.7109,31.4603,322.077,120.3,-615.76,381.45,3.443e16,-7.477e16,4.676e16,0.02883,23215415,23213040,12578140192,12578139346,10491037,109,109,23238100,23213141,23238099,364.745,688950000000000,701090000000000,648950000000000,429340000000000,121640000000000,407.893,307.32,0.04758,0.31958,0.20693,150.499,159.222,-93.8106,0.32368,0.23147,101.958,104.671,-58.5254,0.8136,678700000000000,669000000000000,688870000000000,688870000000000,1562.22,1575.5,0.6008,114700,114700,232000,194800,181700,0.7016,0.702,0.702,688900000000000,1562.22,1562.22,75,32,329,18057614
8,11310750614658,10750614658,0.7666,0.7837,10908053901,28,-1,-1,-1,0,808983000000000,812300000000000,2074.4,515.992,1745.01,1,0.6142,1578.18,73.7359,30.5319,322.153,106.98,-743.78,15.17,9.719e15,-4.15e16,4.728e16,0.01743,23214259,23213036,12578140192,12578139346,10245030,113,113,23243272,23213141,23243271,407.499,813770000000000,834920000000000,737890000000000,455900000000000,138750000000000,262.098,171.87,0.02351,0.43873,0.33022,149.701,113.958,-64.0198,0.58165,0.36539,83.5503,75.1068,-45.2485,0.7166,792700000000000,810800000000000,812300000000000,812300000000000,1578.18,1621.09,0.628,50250,50250,135300,200700,185400,0.7666,0.767,0.767,812300000000000,1578.18,1578.18,75,31,329,18054113
9,9808257666678,8257666678,0.5498,0.5622,8430982767,16,-1,-1,-1,0,153590000000000,152810000000000,1268.83,217.941,1229.28,1,0.5032,1087.29,72.1826,31.8946,322.758,-138.13,-602.83,-191.5,9.406e15,-5.949e15,5.046e15,0.05928,23221762,23213051,12578140192,12578139346,10711096,98,98,23224859,23213141,23224858,181.98,152810000000000,154050000000000,145660000000000,114550000000000,38817000000000,161.622,505.93,0.08351,0.44285,0.39028,89.0181,96.0612,-67.4964,0.40725,0.27803,74.3054,84.5868,-54.7678,0.7619,146400000000000,124800000000000,152810000000000,152810000000000,1087.29,1127.79,0.4406,30500,30500,75450,43020,43130,0.5498,0.55,0.55,152800000000000,1087.29,1087.29,73,32,330,18057641
10,11711373901008,11373901008,0.8376,0.8564,11527127919,1,11373901007,11373901007,-1,0,103740000000000,103740000000000,1018.54,290.013,945.59,0,0.1857,755.47,73.5683,29.5503,322.373,-834.04,-1225.99,546.34,-841900000000000,-1.336e15,-2.445e15,0.01505,23213503,23248655,12578140192,12578139346,9992156,117,117,23266158,23248749,23266157,231.745,115910000000000,111780000000000,89354000000000,52415000000000,18215000000000,97.4344,154.06,0.03216,0.63327,0.42278,73.7852,17.8201,-6.01606,0.63003,0.45749,48.9566,7.62713,0.24623,0.8893,100100000000000,111700000000000,135080000000000,327470000000000,944.61,1231.98,0.6142,159900,159900,4053,-18740,48850,0.6862,0.601,0.601,135100000000000,944.61,1187.35,75,30,330,18054111
