"row_id","MDPL2__Rockstar__dbId","MDPL2__Rockstar__rockstarId","MDPL2__Rockstar__scale","MDPL2__Rockstar__desc_scale","MDPL2__Rockstar__descId","MDPL2__Rockstar__nprog","MDPL2__Rockstar__pId","MDPL2__Rockstar__upId","MDPL2__Rockstar__desc_pId","MDPL2__Rockstar__phantom","MDPL2__Rockstar__Mvir_SAM","MDPL2__Rockstar__Mvir","MDPL2__Rockstar__Rvir","MDPL2__Rockstar__Rs","MDPL2__Rockstar__Vrms","MDPL2__Rockstar__mmp","MDPL2__Rockstar__lastMM_scale","MDPL2__Rockstar__Vmax","MDPL2__Rockstar__x","MDPL2__Rockstar__y","MDPL2__Rockstar__z","MDPL2__Rockstar__vx","MDPL2__Rockstar__vy","MDPL2__Rockstar__vz","MDPL2__Rockstar__angMom_x","MDPL2__Rockstar__angMom_y","MDPL2__Rockstar__angMom_z","MDPL2__Rockstar__spin","MDPL2__Rockstar__breadthFirstId","MDPL2__Rockstar__depthFirstId","MDPL2__Rockstar__treeRootId","MDPL2__Rockstar__forestId","MDPL2__Rockstar__origHaloId","MDPL2__Rockstar__rockstar_snapnum","MDPL2__Rockstar__snapnum","MDPL2__Rockstar__nextCoprog_depthFirstId","MDPL2__Rockstar__mainLeaf_depthFirstId","MDPL2__Rockstar__lastProg_depthFirstId","MDPL2__Rockstar__Rs_Klypin","MDPL2__Rockstar__Mvir_all","MDPL2__Rockstar__M200b","MDPL2__Rockstar__M200c","MDPL2__Rockstar__M500c","MDPL2__Rockstar__M2500c","MDPL2__Rockstar__Xoff","MDPL2__Rockstar__Voff","MDPL2__Rockstar__spin_Bullock","MDPL2__Rockstar__axisratio_2_1","MDPL2__Rockstar__axisratio_3_1","MDPL2__Rockstar__axis1_x","MDPL2__Rockstar__axis1_y","MDPL2__Rockstar__axis1_z","MDPL2__Rockstar__axisratio_2_1_500c","MDPL2__Rockstar__axisratio_3_1_500c","MDPL2__Rockstar__axis1_x_500c","MDPL2__Rockstar__axis1_y_500c","MDPL2__Rockstar__axis1_z_500c","MDPL2__Rockstar__T_U","MDPL2__Rockstar__M_pe_Behroozi","MDPL2__Rockstar__M_pe_Diemer","MDPL2__Rockstar__Macc","MDPL2__Rockstar__Mpeak","MDPL2__Rockstar__Vacc","MDPL2__Rockstar__Vpeak","MDPL2__Rockstar__halfmass_scale","MDPL2__Rockstar__accRate_Inst","MDPL2__Rockstar__accRate_100Myr","MDPL2__Rockstar__accRate_1Tdyn","MDPL2__Rockstar__accRate_2Tdyn","MDPL2__Rockstar__accRate_Mpeak","MDPL2__Rockstar__Mpeak_scale","MDPL2__Rockstar__Acc_scale","MDPL2__Rockstar__First_Acc_scale","MDPL2__Rockstar__First_Acc_Mvir","MDPL2__Rockstar__First_Acc_Vmax","MDPL2__Rockstar__Vmax_Mpeak","MDPL2__Rockstar__ix","MDPL2__Rockstar__iy","MDPL2__Rockstar__iz","MDPL2__Rockstar__phkey"
1,9207292844311,7292844311,0.4814,0.4922,7469998346,4,-1,-1,-1,0,22789300000000,22730000000000,683.084,83.507,704.92,1,0.3377,642.51,676.239,62.9826,530.278,-472.24,-588.53,423.02,32280000000000,-86580000000000,-130800000000000,0.02199,1059732689,1059732165,12661431073,12661430774,111284945,92,92,1059733673,1059732224,1059733672,75.7546,22730000000000,22720000000000,21810000000000,17779000000000,8635000000000,23.6829,138.48,0.02778,0.59605,0.54982,8.22019,62.9009,-12.9936,0.50165,0.4424,11.5336,57.302,-10.9815,0.73,22680000000000,15050000000000,22730000000000,22730000000000,642.51,649.88,0.3303,4540,4540,8129,3653,3518,0.4814,0.481,0.481,22730000000000,642.51,642.51,692,64,543,879750025
2,11110515591681,10515591681,0.7333,0.7498,10674919510,22,-1,-1,-1,0,280583000000000,284130000000000,1478.16,243.039,1359.82,1,0.6862,1205.18,675.368,58.2534,534.386,-945.34,179.47,-118.32,-1.673e15,2.121e16,-1.565e16,0.04002,111653716,111653000,12661431059,12661430774,101914117,111,111,111669767,111653101,111669766,197.519,284420000000000,294810000000000,251280000000000,186710000000000,82647000000000,106.561,663.23,0.05712,0.5501,0.4584,72.4564,-8.10614,90.6171,0.50433,0.33724,68.4908,-14.9926,68.1218,0.7737,266500000000000,210200000000000,284130000000000,284130000000000,1205.18,1205.18,0.6565,100900,100900,101900,62820,63980,0.7333,0.733,0.733,284100000000000,1205.18,1205.18,691,59,547,880011967
3,9307469997981,7469997981,0.4922,0.5032,7646573542,2,-1,-1,-1,0,30811600000000,28820000000000,737.598,116.796,683.03,1,0.2647,649.55,678.647,58.5919,536.855,-581.52,23.94,-259.02,139500000000000,495500000000,49980000000000,0.0151,111657804,111657134,12661431059,12661430774,110476319,93,93,-1,111657189,111660085,110.426,28820000000000,28865000000000,27362000000000,21359000000000,9110700000000,22.9184,104.51,0.01714,0.6932,0.51813,54.1024,-20.3699,38.3482,0.72877,0.50227,42.6033,-15.9547,34.1325,0.643,26500000000000,21750000000000,28820000000000,29285000000000,649.55,759,0.2957,-2495,-2495,-68.51,1525,998.5,0.4505,0.492,0.492,28820000000000,649.55,661.94,694,59,549,880011826
4,9307469998331,7469998331,0.4922,0.5032,7646573876,1,-1,-1,-1,0,12457300000000,12495000000000,558.258,70.424,579.84,1,0.4605,516.38,677.404,63.2171,532.839,-313.75,-513.54,85.8,-50530000000000,121000000000000,9279000000000,0.04676,1918047070,1918046945,12661431071,12661430774,111125119,93,93,-1,1918047012,1918047679,64.6852,12540000000000,12504000000000,12051000000000,9654200000000,4856500000000,46.1965,198.84,0.06121,0.67749,0.4115,40.6262,25.6551,29.1437,0.51725,0.34785,39.4512,23.7228,24.5749,0.7479,12040000000000,8188000000000,12495000000000,12495000000000,516.38,516.38,0.4123,2386,2386,6174,4384,4668,0.4922,0.492,0.492,12500000000000,516.38,516.38,693,64,545,879498356
5,9407646573701,7646573701,0.5032,0.5145,7822518014,3,-1,-1,-1,0,18196300000000,18176000000000,630.998,114.035,602.49,1,0.2957,534.79,676.244,57.5588,531.573,-519.8,189.47,547.17,-55750000000000,25500000000000,61120000000000,0.01538,111657634,111669784,12661431059,12661430774,110271481,94,94,-1,111669863,111671077,114.035,18193000000000,18247000000000,16742000000000,12350000000000,5201200000000,41.7434,121.49,0.02137,0.44286,0.31688,24.0552,6.84222,64.5452,0.40864,0.28533,18.2063,7.33086,54.5375,0.7522,15710000000000,14440000000000,18176000000000,18176000000000,534.79,562.85,0.3023,6071,6071,5257,3638,3776,0.5032,0.503,0.503,18180000000000,534.79,534.79,692,58,544,880011886
6,9407646573891,7646573891,0.5032,0.5145,7822518201,2,-1,-1,-1,0,24739300000000,24562000000000,697.614,100.139,675.2,1,0.3377,608.05,676.025,62.6934,530.471,-360.7,-591.01,379.37,43950000000000,-131000000000000,-136300000000000,0.02393,1059732602,1059732163,12661431073,12661430774,110917946,94,94,1059733708,1059732224,1059733707,106.191,24574000000000,24619000000000,23504000000000,18050000000000,8050900000000,57.6642,77,0.02901,0.7754,0.64884,14.0832,55.3628,-22.5197,0.6661,0.54453,5.46501,49.395,-14.3734,0.6903,23200000000000,16860000000000,24562000000000,24562000000000,608.05,649.88,0.3377,4958,4958,6737,3867,4130,0.5032,0.503,0.503,24560000000000,608.05,608.05,692,64,543,879750025
7,7704629776181,4629776181,0.3453,0.353,4803606633,3,-1,-1,-1,0,11167000000000,11163000000000,551.668,184.469,566.78,1,0.2957,516.48,678.151,57.0066,529.668,-470.7,158.44,367.38,-26870000000000,-19300000000000,8794000000000,0.0165,111663938,111669801,12661431059,12661430774,105322408,77,77,-1,111669863,111670613,144.585,11163000000000,10910000000000,10672000000000,7042300000000,1382000000000,69.51,105.37,0.02268,0.36135,0.2181,26.2233,-13.4896,97.8747,0.32215,0.17731,20.6827,-12.422,74.674,0.7062,9285000000000,12180000000000,11163000000000,11163000000000,516.48,562.85,0.2892,1372,1372,3998,7363,7465,0.3453,0.345,0.345,11160000000000,516.48,516.48,694,58,542,879760808
8,9507822518201,7822518201,0.5145,0.526,7997808831,3,-1,-1,-1,0,25745300000000,25980000000000,708.951,138.935,646.02,1,0.3377,591.99,675.95,62.5456,530.571,-340.55,-612.71,383.19,98430000000000,-84610000000000,-122400000000000,0.02011,1059732561,1059732162,12661431073,12661430774,110694416,95,95,1059733754,1059732224,1059733753,134.92,26003000000000,26102000000000,24541000000000,17136000000000,7158200000000,51.1756,83.45,0.02405,0.7221,0.65883,8.10642,55.6521,-25.4061,0.66363,0.53269,2.40973,49.0051,-13.0622,0.6607,22730000000000,21890000000000,25980000000000,25980000000000,591.99,649.88,0.3377,7696,7696,6431,4597,4815,0.5145,0.514,0.514,25980000000000,591.99,591.99,692,64,543,879750025
9,11410990317671,10990317671,0.7837,0.8013,11146416646,9,-1,-1,-1,0,344567000000000,347440000000000,1553.69,413.088,1325.07,1,0.6862,1157.33,674.917,58.2485,534.34,-297.55,-121.01,57.62,-1.372e16,1.45e16,-4.618e15,0.02102,111653402,111652997,12661431059,12661430774,99946901,114,114,111673931,111653101,111673930,353.368,350140000000000,359610000000000,311590000000000,194820000000000,51285000000000,191.447,147.31,0.03091,0.39301,0.28655,104.939,-1.53749,110.321,0.35451,0.25431,74.0828,1.75555,80.2953,0.7603,336500000000000,355600000000000,347440000000000,347440000000000,1157.33,1205.18,0.6712,88200,88200,83170,73570,66770,0.7837,0.784,0.784,347400000000000,1157.33,1157.33,691,59,547,880011967
10,11410990317841,10990317841,0.7837,0.8013,11146416805,1,10990317671,10990317671,11146416646,0,13184300000000,12889000000000,518.181,58.698,502.48,1,0.4605,429.83,674.791,58.0935,534.029,-359.24,-1610.46,1190.21,-24550000000000,19540000000000,-12950000000000,0.0098,1918046929,1918046924,12661431071,12661430774,99946849,114,114,-1,1918047012,1918048680,61.121,16176000000000,13251000000000,11881000000000,9091200000000,4444000000000,27.6761,57.28,0.01241,0.53741,0.39404,18.6852,-17.4574,32.4612,0.54057,0.42041,16.5809,-10.6283,25.2896,0.7506,13380000000000,7663000000000,15932000000000,15932000000000,455.63,516.38,0.4406,-3427,-3427,-1454,-404.5,573.4,0.7173,0.717,0.717,15930000000000,455.63,455.63,690,59,546,880011963
