"row_id","MDPL2__Rockstar__dbId","MDPL2__Rockstar__rockstarId","MDPL2__Rockstar__scale","MDPL2__Rockstar__desc_scale","MDPL2__Rockstar__descId","MDPL2__Rockstar__nprog","MDPL2__Rockstar__pId","MDPL2__Rockstar__upId","MDPL2__Rockstar__desc_pId","MDPL2__Rockstar__phantom","MDPL2__Rockstar__Mvir_SAM","MDPL2__Rockstar__Mvir","MDPL2__Rockstar__Rvir","MDPL2__Rockstar__Rs","MDPL2__Rockstar__Vrms","MDPL2__Rockstar__mmp","MDPL2__Rockstar__lastMM_scale","MDPL2__Rockstar__Vmax","MDPL2__Rockstar__x","MDPL2__Rockstar__y","MDPL2__Rockstar__z","MDPL2__Rockstar__vx","MDPL2__Rockstar__vy","MDPL2__Rockstar__vz","MDPL2__Rockstar__angMom_x","MDPL2__Rockstar__angMom_y","MDPL2__Rockstar__angMom_z","MDPL2__Rockstar__spin","MDPL2__Rockstar__breadthFirstId","MDPL2__Rockstar__depthFirstId","MDPL2__Rockstar__treeRootId","MDPL2__Rockstar__forestId","MDPL2__Rockstar__origHaloId","MDPL2__Rockstar__rockstar_snapnum","MDPL2__Rockstar__snapnum","MDPL2__Rockstar__nextCoprog_depthFirstId","MDPL2__Rockstar__mainLeaf_depthFirstId","MDPL2__Rockstar__lastProg_depthFirstId","MDPL2__Rockstar__Rs_Klypin","MDPL2__Rockstar__Mvir_all","MDPL2__Rockstar__M200b","MDPL2__Rockstar__M200c","MDPL2__Rockstar__M500c","MDPL2__Rockstar__M2500c","MDPL2__Rockstar__Xoff","MDPL2__Rockstar__Voff","MDPL2__Rockstar__spin_Bullock","MDPL2__Rockstar__axisratio_2_1","MDPL2__Rockstar__axisratio_3_1","MDPL2__Rockstar__axis1_x","MDPL2__Rockstar__axis1_y","MDPL2__Rockstar__axis1_z","MDPL2__Rockstar__axisratio_2_1_500c","MDPL2__Rockstar__axisratio_3_1_500c","MDPL2__Rockstar__axis1_x_500c","MDPL2__Rockstar__axis1_y_500c","MDPL2__Rockstar__axis1_z_500c","MDPL2__Rockstar__T_U","MDPL2__Rockstar__M_pe_Behroozi","MDPL2__Rockstar__M_pe_Diemer","MDPL2__Rockstar__Macc","MDPL2__Rockstar__Mpeak","MDPL2__Rockstar__Vacc","MDPL2__Rockstar__Vpeak","MDPL2__Rockstar__halfmass_scale","MDPL2__Rockstar__accRate_Inst","MDPL2__Rockstar__accRate_100Myr","MDPL2__Rockstar__accRate_1Tdyn","MDPL2__Rockstar__accRate_2Tdyn","MDPL2__Rockstar__accRate_Mpeak","MDPL2__Rockstar__Mpeak_scale","MDPL2__Rockstar__Acc_scale","MDPL2__Rockstar__First_Acc_scale","MDPL2__Rockstar__First_Acc_Mvir","MDPL2__Rockstar__First_Acc_Vmax","MDPL2__Rockstar__Vmax_Mpeak","MDPL2__Rockstar__ix","MDPL2__Rockstar__iy","MDPL2__Rockstar__iz","MDPL2__Rockstar__phkey"
1,11611301492942,11301492942,0.8192,0.8376,11455599320,1,11301492789,11301492789,11455599192,0,12028700000000,11912000000000,498.4,42.13,513.71,1,0.4605,434.1,674.724,57.5655,534.655,20.32,-587.95,1244.85,-42290000000000,10120000000000,10350000000000,0.01388,1918046925,1918046922,12661431071,12661430774,98631140,116,116,-1,1918047012,1918048680,46.2904,14980000000000,12204000000000,11134000000000,9231200000000,4742000000000,12.2295,55.23,0.01834,0.72956,0.53392,22.9982,3.5914,26.0222,0.8158,0.56119,19.5182,0.04851,20.1581,0.7876,13980000000000,6004000000000,15932000000000,15932000000000,455.63,516.38,0.4406,-3271,-3271,-2402,-760.2,522.1,0.7173,0.717,0.717,15930000000000,455.63,455.63,690,58,547,880011965
2,11711455599192,11455599192,0.8376,0.8564,11608748750,17,-1,-1,-1,0,377253000000000,379390000000000,1569.26,278.011,1368.61,1,0.6862,1219.2,674.74,58.2422,534.485,-498,-83.19,-110.36,-2.073e16,2.263e16,725500000000000,0.03081,111653178,111652994,12661431059,12661430774,97975555,117,117,111675773,111653101,111675772,257.706,380360000000000,389030000000000,344830000000000,232470000000000,101810000000000,90.645,296.77,0.03907,0.60477,0.41544,89.2798,-8.21403,92.2359,0.59192,0.43352,63.9782,11.0181,68.9652,0.7092,387400000000000,310600000000000,379390000000000,379390000000000,1219.2,1222.93,0.6712,18050,18050,58310,73700,65650,0.8376,0.838,0.838,379400000000000,1219.2,1219.2,690,59,547,880011964
3,11711455599322,11455599322,0.8376,0.8564,11608748865,2,11455599192,11455599192,11608748750,0,31174700000000,25806000000000,640.575,46.151,733.2,1,0.3377,590.72,674.539,58.0302,534.398,700.98,-1194.08,1653.51,-346000000000000,517300000000000,481400000000000,0.03478,1059732145,1059732140,12661431073,12661430774,97975544,117,117,-1,1059732224,1059735999,46.768,38814000000000,27379000000000,23763000000000,19578000000000,11628000000000,30.7523,169.68,0.08834,0.65457,0.45953,22.8493,-19.0455,32.3755,0.73581,0.54769,18.9698,-12.5552,25.8073,0.9468,30660000000000,12010000000000,31355000000000,33440000000000,564.55,649.88,0.369,-8042,-8042,-4090,-403.6,1444,0.7173,0.767,0.767,31360000000000,564.55,581.28,690,59,547,880011964
4,10309201290042,9201290042,0.6142,0.628,9369360379,2,9201289964,9201289964,9369360307,0,32287700000000,30554000000000,729.27,212.516,671.58,1,0.2957,546.76,675.337,58.1666,533.244,-87.52,486.72,897.42,-376200000000000,747000000000000,-730400000000000,0.05198,111655187,111669775,12661431059,12661430774,106707476,103,103,111671464,111669863,111671463,244.148,30617000000000,31764000000000,26700000000000,16003000000000,7334400000000,61.0805,176.86,0.10592,0.52327,0.47627,26.0778,30.7575,47.6306,0.54903,0.46422,24.1134,18.3033,34.2181,0.8742,27110000000000,34580000000000,25946000000000,33637000000000,529.29,585.79,0.4814,-13910,-13910,7107,6958,7888,0.6008,0.588,0.588,25950000000000,529.29,564.44,691,59,546,880011960
5,10309201290182,9201290182,0.6142,0.628,9369360523,1,-1,-1,-1,0,14443300000000,14440000000000,568.052,132.496,468.87,1,0.4605,438.95,676.202,61.3791,533.243,-458.09,-832.57,180.63,-6373000000000,133200000000000,-60790000000000,0.04202,1918046973,1918046935,12661431071,12661430774,106708669,103,103,1918048394,1918047012,1918048393,133.848,14440000000000,14879000000000,12656000000000,8668200000000,3771100000000,18.6893,73.9,0.04875,0.72564,0.46065,21.7974,36.2338,-17.6295,0.624,0.41468,13.6369,29.7156,-17.5455,0.6317,12610000000000,13610000000000,14440000000000,14440000000000,438.95,516.38,0.4309,67.69,67.69,537.5,1315,1482,0.6142,0.614,0.614,14440000000000,438.95,438.95,692,62,546,880012164
6,12312364148792,12364148792,0.9567,0.9781,12516182156,1,-1,-1,-1,0,23705700000000,20931000000000,570.671,73.574,525.32,1,0.3377,476.99,675.043,57.5339,535.661,-247.95,6.88,321.19,-18750000000000,182700000000000,-1102000000000,0.02199,1059732134,1059732134,12661431073,12661430774,94038089,123,123,-1,1059732224,1059736157,64.2494,27815000000000,23609000000000,16224000000000,11283000000000,6745700000000,30.7452,98.91,0.02799,0.59664,0.4967,29.2129,-12.3948,23.7583,0.74732,0.63994,18.5759,-10.5503,15.366,0.7361,20600000000000,11790000000000,20931000000000,39591000000000,476.99,649.88,0.4505,-4373,-4373,-3048,-3081,2399,0.8564,0.957,0.767,31360000000000,564.55,584.97,691,58,548,880011971
7,11010355148936,10355148936,0.7173,0.7333,10515591880,4,-1,-1,-1,0,32852000000000,33440000000000,728.22,115.892,605.48,1,0.3377,581.28,674.676,59.8691,532.593,-293.67,-806.13,676.99,419800000000000,149200000000000,-526100000000000,0.04672,1059732196,1059732147,12661431073,12661430774,102541347,110,110,1059735297,1059732224,1059735296,111.207,33625000000000,35900000000000,27901000000000,19415000000000,10387000000000,38.564,56.02,0.05319,0.66883,0.60804,-9.98166,45.6899,-27.1424,0.63892,0.5614,-1.42379,38.8233,-19.365,0.6374,34190000000000,22540000000000,33440000000000,33440000000000,581.28,649.88,0.369,3786,3786,4326,2199,2142,0.7173,0.717,0.717,33440000000000,581.28,581.28,690,61,545,880012108
8,11310833153986,10833153986,0.7666,0.7837,10990317671,14,-1,-1,-1,0,323490000000000,323300000000000,1525.89,414.143,1313.55,1,0.6862,1149.63,675,58.2694,534.335,-486.39,-28.54,70.01,-8.334e15,1.854e16,-1.243e16,0.02663,111653498,111652998,12661431059,12661430774,100609871,113,113,111673237,111653101,111673236,322.136,324530000000000,342010000000000,284720000000000,186730000000000,41974000000000,238.893,162.08,0.04086,0.39343,0.33486,114.604,-19.7941,105.914,0.36616,0.2365,82.0712,-11.4758,71.0498,0.7775,303900000000000,339600000000000,323300000000000,323300000000000,1149.63,1205.18,0.6565,87160,87160,99380,68640,64030,0.7666,0.767,0.767,323300000000000,1149.63,1149.63,691,59,547,880011967
9,11511146416646,11146416646,0.8013,0.8192,11301492789,11,-1,-1,-1,0,361527000000000,362960000000000,1566.72,350.307,1326.91,1,0.6862,1208.18,674.898,58.2179,534.395,-253.18,-124.57,64.05,-1.383e16,1.816e16,-2.321e15,0.02409,111653315,111652996,12661431059,12661430774,99284987,115,115,111674403,111653101,111674402,273.674,364540000000000,372840000000000,333150000000000,216060000000000,64709000000000,100.316,185.05,0.03193,0.4989,0.32135,93.6162,-9.9632,106.85,0.40069,0.2825,60.7108,8.0183,77.8083,0.7168,367000000000000,347800000000000,362960000000000,362960000000000,1208.18,1208.18,0.6712,55440,55440,72020,74680,65950,0.8013,0.801,0.801,363000000000000,1208.18,1208.18,691,59,547,880011967
10,10108862119206,8862119206,0.5876,0.6008,9032185555,1,8862119205,8862119205,-1,0,25782000000000,25782000000000,694.232,45.707,820.42,0,0.2647,678.06,677.178,58.4946,535.501,-842.97,-286.69,-1290.65,-147500000000000,-242900000000000,84150000000000,0.02307,111655541,111657126,12661431059,12661430774,107718554,101,101,111660227,111657189,111660226,50.4177,30393000000000,26104000000000,24690000000000,21240000000000,13498000000000,81.4382,130.01,0.03822,0.68658,0.42829,16.3992,0.90809,44.2812,0.72715,0.44851,14.6798,0.09453,38.1309,0.875,30560000000000,11440000000000,27031000000000,29285000000000,626.98,759,0.2957,1084,1084,-1538,-1549,0,0.4505,0.526,0.526,27030000000000,626.98,661.94,693,59,548,880011822
